,lyric,youtube,melon,bugs,genie,total
뷰릉부릉,0,0,0,1,0,1.0
사이트,0,0,0,0,1,1.0
비도,0,0,0,0,1,1.0
죽지,0,0,0,0,1,1.0
뭔가,0,2,0,0,5,7.0
허다,0,0,0,0,2,2.0
흐캬,0,0,0,0,1,1.0
리릭,0,0,0,0,1,1.0
임펙트,0,0,0,1,0,1.0
겨냥,0,0,0,1,0,1.0
세트,0,0,0,0,1,1.0
베스,0,0,0,0,1,1.0
아이유,0,0,0,0,1,1.0
들어주다,0,0,0,2,1,3.0
자하,0,0,0,1,0,1.0
행사,0,0,0,1,1,2.0
생기다,0,1,0,2,2,5.0
책,0,0,0,3,3,6.0
생생하다,0,0,0,0,2,2.0
효오,0,0,0,0,1,1.0
펀드,0,0,0,0,1,1.0
날씨,0,0,0,3,17,20.0
딩,0,0,0,0,1,1.0
느낌,0,1,0,2,10,13.0
겨울,0,2,0,2,8,12.0
대리,0,0,0,0,2,2.0
기원,0,1,0,0,0,1.0
함,0,0,0,1,4,5.0
캐됴아,0,0,0,1,0,1.0
예쁘다,0,0,0,1,2,3.0
라이어,0,0,0,0,1,1.0
채우다,0,0,0,0,1,1.0
착,0,0,0,0,2,2.0
들려주다,0,1,0,1,3,5.0
벚,0,0,0,0,1,1.0
여인,0,0,0,0,1,1.0
꽃,0,0,0,0,13,13.0
심장,0,0,0,0,2,2.0
개극혐,0,0,0,1,0,1.0
순간,0,1,0,0,2,3.0
선,0,0,0,0,1,1.0
카디널스,0,0,0,0,1,1.0
간다,0,1,0,0,3,4.0
몇몇,0,0,0,0,1,1.0
퍼지다,18,0,0,0,1,19.0
종합,0,1,0,0,0,1.0
발동,0,0,0,0,1,1.0
똑같다,0,0,0,1,1,2.0
타,0,0,0,1,1,2.0
작성,0,0,0,0,2,2.0
창작,0,0,0,1,0,1.0
떼창,0,0,0,0,4,4.0
메리크리스마스,0,0,0,0,1,1.0
네버엔딩,0,0,0,2,4,6.0
저,0,1,0,1,14,16.0
겨,0,0,0,0,1,1.0
머라이어캐리,0,0,0,1,2,3.0
추수,0,0,0,0,1,1.0
연습생,0,0,0,0,1,1.0
육군,0,0,0,0,1,1.0
국민연금,0,0,0,0,1,1.0
가능,0,0,0,0,1,1.0
어느덧다,0,0,0,2,1,3.0
여고,0,0,0,0,1,1.0
설마,0,0,0,0,2,2.0
쑥,0,0,0,0,1,1.0
오신,0,0,0,0,2,2.0
패만드,0,0,0,0,1,1.0
따스하다,0,1,0,0,1,2.0
해,0,3,0,0,3,6.0
빡,0,0,0,0,1,1.0
