,lyric,youtube,melon,bugs,genie,total
시절,0,0,1,0,0,1.0
도배,0,0,1,0,0,1.0
고양이,0,1,0,0,0,1.0
맘,0,0,1,0,0,1.0
지니어스,0,0,1,0,0,1.0
초등학교,0,0,2,0,0,2.0
전주,0,0,2,0,0,2.0
신나다,0,2,2,0,0,4.0
진짜루,0,0,1,0,1,2.0
대신,0,0,0,0,1,1.0
라라,0,1,0,0,0,1.0
릴라,0,0,0,0,1,1.0
이사오,0,1,0,0,0,1.0
매다,0,1,0,0,0,1.0
나착건,0,0,1,0,0,1.0
놀다,0,1,0,0,0,1.0
바이브,0,1,0,0,0,1.0
원,0,0,2,0,0,2.0
나른하다,0,1,0,0,0,1.0
백도,0,0,1,0,0,1.0
울다,0,0,0,1,0,1.0
교가,0,1,0,0,0,1.0
다음,0,1,0,0,0,1.0
금,0,2,0,0,0,2.0
위곡,0,0,1,0,0,1.0
영업,0,0,0,0,1,1.0
모니카,0,1,0,0,0,1.0
정말,0,1,4,0,1,6.0
마약,0,1,0,0,0,1.0
보고,0,6,0,0,0,6.0
첫사랑,0,1,8,0,0,9.0
풋풋,0,1,0,0,0,1.0
의과대학,0,1,0,0,0,1.0
사이이,0,0,0,0,1,1.0
행복하다,0,0,2,0,0,2.0
벨소리,0,1,0,0,0,1.0
버스커버스커,0,12,2,0,1,15.0
남친,0,1,1,0,0,2.0
형태,0,0,1,0,0,1.0
기다리다,0,1,1,0,0,2.0
형,0,2,0,0,0,2.0
꿀잼,0,1,0,0,0,1.0
애,0,2,1,1,0,4.0
방금,0,1,0,0,0,1.0
겁나다,0,2,0,0,0,2.0
묻다,0,0,0,0,1,1.0
쏘다,0,1,0,0,0,1.0
그램,0,1,0,0,0,1.0
이모,0,1,0,0,0,1.0
신,0,1,0,0,0,1.0
편지,0,1,0,0,0,1.0
단대,3,7,0,1,1,12.0
개,0,3,0,0,0,3.0
짝사랑,0,0,2,0,0,2.0
버리다,0,1,2,0,0,3.0
민중화,0,1,0,0,0,1.0
오토바이,0,1,0,0,0,1.0
맛집,0,1,0,0,0,1.0
준,0,1,0,0,0,1.0
짤렸구,0,1,0,0,0,1.0
헹,0,0,0,0,1,1.0
추억,0,5,0,0,0,5.0
개학,0,1,0,0,0,1.0
어리다,0,2,0,0,0,2.0
여기다,0,1,0,0,0,1.0
쾌남,0,0,1,0,0,1.0
마즘,0,0,0,0,1,1.0
학년,0,1,0,0,0,1.0
탕,0,1,0,0,0,1.0
영상,0,1,0,0,0,1.0
리,0,0,2,0,3,5.0
따뜻하다,0,4,0,0,0,4.0
새다,0,0,3,0,0,3.0
캐,0,1,0,0,0,1.0
돌아오다,0,1,0,0,0,1.0
진정,0,1,0,0,0,1.0
자전거,0,1,0,0,0,1.0
끝내주다,0,1,0,0,0,1.0
띵곡,0,2,1,0,0,3.0
필,0,1,0,0,0,1.0
건,0,1,7,0,0,8.0
목소리,0,5,0,0,0,5.0
워낙,0,1,0,0,0,1.0
오늘이,0,1,0,0,0,1.0
한송이,0,4,0,0,1,5.0
눈물,0,1,0,0,0,1.0
소속사,0,1,0,0,0,1.0
뜨다,0,1,0,0,0,1.0
떡,0,1,0,0,0,1.0
노랜,0,0,1,0,0,1.0
질리다,0,1,1,0,0,2.0
아연,0,1,0,0,0,1.0
말,6,13,1,0,1,21.0
스무살,0,1,0,0,0,1.0
오래되다,0,1,0,0,0,1.0
용,0,1,0,0,0,1.0
가지다,0,2,0,0,0,2.0
내다,0,3,1,0,0,4.0
이르다,0,1,0,0,0,1.0
벚꽃,0,15,3,0,4,22.0
마이,0,1,0,0,0,1.0
명반,0,5,1,0,0,6.0
존잘,0,0,2,0,0,2.0
조금,0,0,2,0,0,2.0
틀어지다,0,0,1,0,0,1.0
이북,0,0,1,0,0,1.0
나가야,0,3,0,0,0,3.0
다가오다,0,2,0,0,0,2.0
부의,0,0,1,0,0,1.0
아쉽다,0,0,1,0,0,1.0
시간,0,1,0,0,0,1.0
실,0,2,0,0,0,2.0
수많다,9,16,0,0,0,25.0
조회,0,1,0,0,0,1.0
귀엽다,0,2,0,0,1,3.0
꽂다,0,2,0,0,0,2.0
사귀다,0,2,1,0,0,3.0
몇번,0,1,0,0,0,1.0
날,0,1,0,0,1,2.0
후다닥,0,0,1,0,0,1.0
애가,0,0,1,0,0,1.0
엔딩,0,9,2,0,3,14.0
