,user,comments
111,jihye,봄이라고 하면 이런 상쾌한 봄이 생각나야 하는데 나는왜 미세먼지가 생각날까ㅋ
112,pap***,입춘 실화냐.... 올해는 꼭 꽃길걷고싶다🌸 솔탈도...
113,chu,날씨가 벌써 봄같아서 일찌감치 들으러옴 🌸 설렌다
114,HKUNK,사랑하는 사람이 없을때는 고통스러운 노래였는데사랑하는 사람이 생기니 너무 좋다
115,UNKNOWN,벚꽃 스타트도 있었으면 좋겠다
116,sh0***,이제 곧 있으면 머라이어 캐리 누님 캐롤 들리다가 2019년이 끝나고 2020년의 벚꽃 엔딩이 시작되겠구만.. 한해 덧없이 빨리 간다 ㅠㅠㅠ
117,UNKNOWN,봄에부르는 단골 민요..
118,EXINE,좋은곡.
119,sto***,사랑하는 사람이 생기니까 더욱 힘드네요..
120,어쩌라구용,아무도 안물어봤지만네 그렇습니다저는 모솔입니다༼; ́༎ຶ ۝༎ຶ`༽흐어어엉
121,◡̈,커플 망해라...
122,⁰,으악
123,⁰,? (저도 왜 으악을 썼는지 모르겠어요ㅋㅋㅋㅋㅋ (자기가 말하고 자기가 까먹기))
124,과니❣️,"전 이상하게 이 노래 들으면 슬퍼요ㅠㅠㅠ이 즈음에 군 입대를 했는데, 보통 남자들의 군대 입대곡이라고들 하는게 저는 이 곡이였거든요.*입대곡이라는 입대 시기에 나온 노래, 명곡 등을 말해요.(빅뱅 블루도 입대곡이라는데..)엄마가 일 땜에 바쁘시기도해서 입대 전에도시간도 같이 못 보내고, 슬펐어요 ㅠㅠ제가 신교대 수료식 끝나고 이 노래를 흥얼거리고 계시거라고요. 저는 엄마가 이 노래를 어떻게 아는지 했는데.저희 신교대 카페 bgm이라고 하더라고요!얼마나 노래를 많이 들었으면 흥얼거리실 정도인지😭무튼.. 감동과 슬픔이 섞여있는 노래에요.옛날 생각 잠깐 하고 가요!엄마 사랑해요💜"
125,완전온조,댓글 왜 숨겨진건지 설명 해주실 분 구함
126,a01***,어이 벚태식이 돌아왔구만
127,WIZlinus,방탄이 컴백했는데 순위오르는 당신은 도덕책
128,bh7***,시작 됐다... 벚꽃의 계절.. 올라가세요 형님
129,jo2***,오태식이 돌아왔구나
130,썬ㄴ,벚꽃보면서 이 노랠 들으면 진짜 이게 봄이구나 싶음..
131,썬ㄴ,7년이 지났지만 아직도 봄이 되면 차트인 하네🌸
132,하히후헤호,2주전에 남친과 헤어졌는데도 봄은 오네요ㅜ
133,잠이안오네,스무살때 이노래가 나왔지 지금 들으면 12학번 새내기였던 나와 우리가 떠오르는 심장이 울렁거리는 인생 노래.. 예뻤다 그때.
134,fjq***,2019?
135,unb***,곧 음악교과서 실리는거아님?
136,hun789,또 올라왔네 언제 이걸 같이 들을까..혼자듣기 지겹네~
137,킄,내년에 이 노래를 대학 캠퍼스에서 듣고싶다ㅏㅏㅏㅏ
138,yan***,훗날 봄 가을이 없어지면이 노래로 봄을 알려줄 수 있을 것이다.
139,lUlN,아앗.....힘내십셔....ㅠ
140,이과는위대해,정은지의 너란 봄 추천
141,ㅂㅈㅂㅈ,실렸어용ㅋㅋㅋㅋㅋ
142,DAY6♡,이미 실렸어요 중학교 교과서에.ㅋㅋㅋㅋㅋ
143,ㅎㅎㅎ,또다시 찾아왔다
144,hyunju@,올해도 변함없이 차트 재등장 ㅋㅋㅋㅋㅋ
145,gus***,2012년에 나온 노래를 2019년 4월에도 나는 듣고 있다 ㅎㅎㅎ 2015년에 같이 들었던 남자친구가 지금은 신랑이 되어 같이..ㅎㅎ
146,ghd***,.....군대있을때 나와서 군대 생각밖에 안남 봄마다 저주임......
147,경청,참 들어도 들어도 질리지가 않네
148,김나나,이노래들어야 봄같음
149,joo***,"2019, 지금 다시 들어도, 그 어느 봄에 들어도 늘 설레는 노래"
150,smilek6,새로 나온 신곡들 들어보다 결국 벚꽃엔딩만 반복한다.지겹다 그러다가도 벚꽃 필째 되면 그냥 듣고 좋구나~ 한다.
151,any***,벚꽃연금
152,딸기우유,"내 스무살 첫 사랑을 하던 봄에 듣던 노래. 아직도 이 노래만 들으면 그때 그 버스안에서 봤던 벚꽃이 가득하던 부암동 풍경이, 그때의 그 설렘이 느껴져요. 이런게 음악의 힘인가 ㅎㅎ"
153,sod***,10위까지는 가지 않을까
154,ppusan0077,노래가 정말 좋네요
155,닫다,"배뎃은 매년 봄마다 고통을 받는다던데,,"
156,sti***,이 곡 검색하려 검색창만 눌렀는데 추천첫번째로 뜨는ㅋㅋㄱㅋㅋㄱㅋㄱㄱㅋ역시
157,pusol3,연금이 돌아왔다
158,lUlN,들어도 봄같지 않으면 어떡하죠....주륵....
159,khj***,역시 벚꽃좀비... 매년 들어도 매년 좋으니까 어쩔 수 없다!!
160,죽,이 노래 나올 때 태어난 아이들이 지금 초등학교에 입학해서 어느새 떼창을 하고 있다는게 정말 소름돋는다...
161,lee***,저 또 연금가입할려고요. 10년납 60세부터 연금 받을려고요.
162,min***,2019년 봄 입니다.
163,경청,벚꽃 구경 왔는데 중학교 여학생들이 떼창 하고 있네..시대를 초월 한 듯
164,star,진짜 신기한게 매년 들어도 질리지가 않음... 대단쓰
165,rim***,나의 20살을 대표해주던 노래ㅠㅠ
166,룰루,벚꽃 좀비
167,jun***,이노래 진짜 마약같은 노래임
168,경청,7년째네 하기야 어제 오늘 벚꽃 피니 자연스럽게 선곡이 된다.
169,Giselle,2019
170,WIZlinus,벚태식이 돌아왔구나
171,죠스,벚꽃좀비가 또..
172,lee***,연금 들어왔습니다. ㅎㅎㅎ
173,f,올해도 시작됐다 !! 벚꽃연금!!
174,gad***,꼭 그렇게 매년 들어야 속이 후련했냐!!!!
175,lik,또 들으러 왔습니다 벚꽃연금
176,💋,봄이다 🌸🌸
177,진이,2019
178,살찐올빼미,"흩날려라, 벚꽃엔딩"
179,고양이왕ㅕㅕㅕ,ㅋㅋ다시 스멀스멀 올라오는구만
180,cil***,봄이구나...이 노래가 온거보면..
181,nin***,3~4월에는 벚꽃엔딩 차트인 7~8월에는 여수밤바다 차트인 ㅋㅋㅋㅋ
182,nin***,봄이 오고 있구나~~
183,웅웅,올해도 혹시나가 역시나 ㅋㅋ
184,mky***,남부지방 벚꽃 피니까 슬슬 올라오네 서울 벚꽃피면 절정이겠다
185,joy***,봄이라 어쩔수 없나봄...상징같은 곡이니까
186,딸기,이제 찾아들어야 된다니 ㅠㅠ... 1위까지 올라와죠 ㅠㅠ
187,뀨,또 들으러 왔네요 ㅋㅋ
188,yhjo1423,벚꽃좀비..
189,kor***,다시 벚꽃이 피기 시작하니까 여지없이 순위에 올라오네요~~^^
190,lol,와 개좋아 ㄷ ㄷ ㄷ 봄날시좋을대 자동반사
191,sseul,어김없이 다시 찾게되네요!! 안녕🙌🏻🙌🏻❣️🌸🌸
192,풀먹는오월이,봄은 봄이구나ㅋㅋ
193,ehd***,봄 시즌 연금 노래 탑 51위 명불허전 벚꽃엔딩2위 명수 아이스크림 러브블러썸3위 아이유의 봄 사랑 벚꽃말고4위 아스날5위 로꼬츄유주 우연히 봄
194,neu***,좀 제발 그만좀.. 진짜 하아.. 이것때문에 버스커버스커 노래는 진짜 아예 안들음..
195,gms***,또 슬금슬금...
196,Zino,와웅 계속 또 상승 중 벚꽃엔딩은 끝나지 않는다..!
197,스타벅스,🌸 봄이다아아~ 🌸
198,wld***,이때 듣지 언제 들어~~~~~~~지금 이 맘때 쯤에 늘 매년 생각나는 노래고 이 곡 만큼 봄 느낌을 살려주는 곡이 없는듯...버스커버스커 다시 보고 싶다 ㅠㅠ
199,찬또102,올해도 어김없이 봄이 왔구나... !
200,❤️,이거 작사 작곡 누구에요????
201,goq***,ㄹㅇ 벚꽃연금 ㅋㅋㅋㅋㅋㅋ진짜 띵곡
202,블링꽁,봄이오면 귀신같이 차트인하넼ㅋㅋㅋㅋㅋㅋㅋ하긴생각나
203,swi***,또 슬금슬금 올라온다ㅋㅋㅋ
204,garden_,어제 봄비가 내려왔네요. 이제 이 노래 올라가는건가요?
205,갓홍님,사스날 무엇 ㅋㅋㅋ
206,ehd***,듣지마 ㅈㄹ하고 자빠졌네  (특유의...말투부터 ㅈ찐ㄸ ㅏ)
207,sch***,듣기싫음 안들어도 상관없는데 그렇게 싫은 사람이 굳이 여기까지와서 댓글을...? 좋은노래 분위기 해치지 마쇼
208,고양이왕ㅕㅕㅕ,ㅉㅉ
209,bal***,ㅇㅈㅋㅋㅋㅋㅋ이정도면 자신과의 싸움인데욬ㅋㅋㅋㅋㅋ
210,쥬야,작사작곡 장범준
211,모구,형님 올라가시쥬
212,hee***,이제는 이걸 들어야만 봄같달까.. 이번봄도 따듯하고 이쁜사랑들 하시길♡
213,가나가라바,지나가다 들러요
214,mem***,봄만 되면 장범준 떼돈 버는 날
215,ijo***,또 올라갑니다~_~💕💕💕💕
216,광배밍구리,누군가에겐 좋고 싫고 노래의 이중성
217,sto***,2019년 들으시는분?
218,bbm***,차트 몇위져 ??
219,oho***,가자 좀비들아
220,지이니이♡,와 미친 차트 진입 실화야? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
221,ㅎㅇ,ㅋㅋ또 나왓어 ㅋㅋ 진짜 좀비다 ㅋㅋㅋ
222,tjd***,아 차트떳네 봄시작이다
223,디니,이걸로 얼마나 벌었을까...부럽다
