,melon_id,댓글
284,군대에서배운건여자아이돌노래,이 노래가 좋긴 좋은가봐
285,지민이조앙,아미분들 여기다가 욕쓰는거는 아닌것같아요.. 그리고 볼빠팬분들도 많이 보시고그러는데 그럼 저희도 욕먹는거랑 똑같은거에요 .
286,J.pla,빠충이들 수준 여기서 나오네 ㅋㅋㅋㅋㅋㅋ현재 방탄컴백해도 이노래가 2등이라서 ㅂㄷㅂㄷ거리고 이 노래가 뭐가 좋니 이러는데 이런짓들 늬들 팬수준만 낮추는기다 다른 팬들은 다른 노래도 존중해줄주 아는데 니들은 마인드가 왤캐 쳐 꼬엿냐 ㅋㅋㅋㅋㅋㅋㅋ수준 존트 낮아보이네
287,나나나후니,"너무 많이 몰려서 애꿎은 타 이용자 힘들게 만들지 마요...;;
가끔씩 버벅대는것 짜증나요..."
288,웅성웅성옹성우...,ㅋㅋㅋㅋ댓글 팬코 5지네
289,하나공주짱이라고불러,노래 부르면서 귀여운척좀 하지마라
290,Polo_,어디서 들어본 멜로디 짬♩ 시켜논 곡 같음. 진심 4마디씩 각각 익숙하다.
291,BuzzRockin,와 킹갓사춘기보소... 방탄을 이겨버리네..ㅋㅋ방탄도 노래는좋아요 아미님들..근데 줄세우기는 쫌 안하면 안될까요?ㅋ..
292,rere._.ve,여기 아미인척하면서 왜 방탄 사이에 끼냐; 이러는 사람들 개많은데 팬코일가능성 높으니까 뮤직 DNA한번 보세요 그리고 먹금합시당 관심주면 좋아하는 것들이라ㅠ 볼사님 노래 너무 좋아요!! 진짜 매번 믿고들어요ㅠㅠ
293,20151117,이노래 그거같다. 10cm가 봄에낸노래 그거뭐냐? 커플들 다깨져라하면서 노래하는가사
294,SH_lovely_,믿고듣는 믿춘기
295,탈퇴한 회원,똥똥똥똥하는거 듣기 엄청좋다 부르고 싶어도 나한테 너무 높아서 듣기만...ㅠㅠㅠ기타소리도 너무 잘어울림 방탄팬이지만 항상 응원함
296,아임더몬스터,아미인지 ♩♪인지 SNS에선 욕먹을땐 숨어있다가 본진오니깐 신이나서 날뛰네 ㅋㅋ 남한테 피해는 안주고 살아야지 인생 시간 허비하면서까지 그러고 싶나
297,hsduf4,볼사짱!
