,melon_id,댓글
254,Allizzwell247,또 이노래가 생각나는 계절이 왔넹
255,mi_N,벚꽃보러가고싶네요..
256,eun1236,174위
257,휘람지,"날이 따뜻해져서 플레이리스트에 추가하러옴..
얼른 마스크 벗어던지고 벚꽃보러 가고싶다ㅠㅠ"
258,hannegaby,"2020년 3월 20일 춘분입니다.
그리고 벚꽃과 목련이 점점 많아지고 있습니다."
259,햇님햇님고햇님,"이제 이정도면 계절민요아니냐
너무 좋다"
260,아이유챰좋다,"2010년대 통합1위 축하합니다.
정말 대단 스고이 합니다!!"
261,you.re_precious,올해도 들으러 왔습니다
262,삼월이십일일,난 이제 벚꽃연금이 봄에 상위권에 없으면 괜히 섭섭해... 다들 꽃 피면 줄기차게 듣고 불렀잖아ㅠ
263,Chu...,1위가즈아
264,HeroesLore,26허가
265,주-..연,슬슬 올라갈때 됐다~
266,김주환환,153
267,love_you,"자 차트인 & 1위 준비하실게요.
이번 봄도 잘부탁해요❤️
같이 걸어요 이거리를><"
268,탱구왔서현,오 179위!!
269,탈퇴한 회원,크 노래 좋다아
270,싱하123,어제 190 오늘 170 ㄷ ㄷ
271,r2L,슬슬 올라오네
272,blueday320,이 노래가 나와야 진짜 봄
273,옌붕,다시 벚꽃연금 터질 때가 됐다
274,Latino.,올라갈 준비하셔야죠;;
275,hannegaby,"2020년 3월 20일 춘분
우리 동네에는 춘분이 오기도 전에 벚꽃이랑 목련이 서서히 나타나기 시작합니다."
276,mellifluous00,어제 190위니까 곧 100위 각!!
277,꽃사줄까,"슬슬 올라가자?
점심 먹고 산책 중인데 이노래가 떠오르더라"
278,PTKA,올라와 당겨준다
279,unknown3637,요즘 밖을 못나가서 이노래 순위로 추운지 따뜻한지 알고 있어요
280,레드벨벳_forever,벚꽃 엔딩 차트인 준비하고 있다
281,쓰앵닌,"이노래는 맨처음이랑 맨마지막
그대여 그대여 그대여 그대여 그대여
부분이 제일 아련한 것 같음 .."
282,지희공주마마,자 이제 시작
283,Itsjustsh,오늘부터 들어야겄다
284,thing_melody,때가 왔다
285,pwcjsrnr,방구석에서 봄 느낌 낸다 ..
286,eun1236,내일부터 날씨따뜻해진까 올라갈듯
287,Rnai,와 순위 점점 올라간다ㅋㅋㅋㅋ 역시 벚꽃엔딩!!!!
288,amazingcat,오늘부터 플레이리스트에 넣음
289,준일옹,2020 ㅅ??
290,나_나-,"3/15
219위"
291,hayeonnii,3월말에 올라간다
292,eastY,이제 슬슬 올라올때됫다
293,suhop,이노래 전주들으면 소름부터..
294,강도현,얘들아 뭐 해. 올려.
295,주차하는연인들을위해,벚꽃엔딩이야말로 2010년대를 대표하는 노래아닐까
296,탱구왔서현,230위ㅠㅠㅠ 언제 올라와
297,미키귀엽다,올해는 오늘 첨으로 들었음 ㅎㅅㅎ
298,hannegaby,"2020년 3월 14일
화이트 데이입니다.
우리 동네에 벚꽃 하나가 피었습니다."
299,로라쭈우,"올해는 벚꽃구경 못가는데 ...
추억속에서 음악여행 할께요
이제 차트에 올라오세요"
300,Happy_days12,이제 들을때가 되었쥬
301,방구몬,"코로나 때문에 꽃놀이 못가니까
벚꽃엔딩 들으며 각자의 추억속 꽃놀이를 떠올릴 듯"
302,sSubIn,239위ㅋㅋㅋㅋㅋ 슬금슬금 올라간다 빨리 차트인ㅠㅠㅠㅠ
303,충성한,떨린당
304,2021화이팅,슬슬 올라올때가 되었쥬??
305,hannegaby,"3월 13일 자정이 울리면
3월 14일 화이트 데이.
남자가 여자에게 사탕을 선물하는 날에도
벚꽃엔딩 신드롬을 예감합니다."
306,samahn,이제 슬슬 올라와야지?
307,PacaBin_1208,269위입니다 네 슬슬 올라오네용ㅋㅋㅋㅋㅋ
308,DS____,304위
309,voodookah,봄이 그리워서 듣게되네
310,hannegaby,"3월 14일 화이트데이에도 아마 벚꽃엔딩 신드롬은 오래 가겠지?
공교롭게 봄이니까..."
311,경재,올해는 코로나가 벚꽃연금 이긴듯하네 장범준 첫 1패
312,GEETEE_,이 노래 요즘 중고딩 아나요? 애기 였을텐데 ㅎ.ㅎ
313,Ifeelgyu,그가 다시 올라온다... 이게 봄이지 ㅋㅋ
314,Kikik,191위! 이제 정말 봄이다
315,이뿐마눌님,오늘부터 무한반복 ㅎ
316,비내리는하루n,이제 올라올 시기구나 대박... 2020년 올 봄에도 흥하자!
317,Elan_Vital,형 이제 슬슬 돌아올 시간이 됐어
318,동2이,현순위:299위
319,dysxchp_lov,이거 들으면서 봄 좀 기다려야겠네
320,야호바-ㅅ-,"날씨 좋다....,코로나꺼져...ㅠ_ㅠ"
