,keyword,count
1508,거닐다,1
1509,일기장,1
1510,무심하다,1
1511,그게,1
1512,힐것,1
1513,눈시울,1
1514,오지,1
1515,적지,1
1516,벛꽃보러,1
1517,연주,1
1518,사거리,1
1519,수학,1
1520,국어,1
1521,자락,1
1522,지키다,1
1523,정상,1
1524,이모티콘,1
1525,가로수길,1
1526,꽃나무,1
1527,벛,1
1528,언덕,1
1529,존나,1
1530,다시다,1
1531,어우,1
1532,세명,1
1533,증가,1
1534,겨울방학,1
1535,원하다,1
1536,최애,1
1537,핑계,1
1538,어처피,1
1539,유치원,1
1540,장악,1
1541,논,1
1542,설명,1
1543,고함,1
1544,횟수,1
1545,다,1
1546,두둑하다,1
1547,지갑,1
1548,투여,1
1549,무엇,1
1550,시리즈,1
1551,온난화,1
1552,야구,1
1553,년금,1
1554,청아,1
1555,멍,1
1556,수정,1
1557,응답,1
1558,극성,1
1559,한국인,1
1560,겁나다,1
1561,회수,1
1562,디,1
1563,습,1
1564,라가,1
1565,강시,1
1566,가라,1
1567,외국,1
1568,기원,1
1569,유명하다,1
1570,종합,1
1571,울다,1
1572,날짜,1
1573,강남스타일,1
1574,신년,1
1575,드론,1
1576,마음속,1
1577,땅,1
1578,이지,1
1579,향,1
1580,스타일,1
1581,홀로,1
1582,괴리속,1
1583,사그라들다,1
1584,여물,1
1585,선거,1
1586,블랙데이,1
1587,잠자다,1
1588,불후의명곡,1
1589,더불다,1
1590,격리,1
1591,자가,1
1592,그루만,1
1593,뒤늦다,1
1594,선거일,1
1595,안좋다,1
1596,귀로,1
1597,봄스커봄스커,1
1598,젭알,1
1599,만족,1
1600,멜랑꼴리,1
1601,를,1
1602,맡다,1
1603,김,1
1604,우리동네,1
1605,베다,1
1606,습관,1
1607,헛,1
1608,진물,1
1609,보릴,1
1610,풍경,1
1611,족,1
1612,음질,1
1613,바이러스,1
1614,멋있다,1
1615,월드,1
1616,오브,1
1617,리그,1
1618,소중하다,1
1619,꺼내다,1
1620,대칭,1
1621,개쩌는듯,1
1622,주제곡,1
1623,늦가을,1
1624,꼬,1
1625,스럽다,1
1626,밴드,1
1627,난장판,1
1628,신천지,1
1629,챔피언십,1
1630,필요없다,1
1631,인터넷,1
1632,뒤지다,1
1633,정식,1
1634,팬,1
1635,만족하다,1
1636,겨,1
1637,게이,1
1638,곳,1
1639,기르다,1
1640,특유,1
1641,알차다,1
1642,본적,1
1643,짜다,1
1644,지인,1
1645,그땐,1
1646,넘버원,1
1647,국룰,1
1648,견장,1
1649,삭,1
1650,고려가요,1
1651,후렴구,1
1652,일종,1
1653,워워,1
1654,얄리얄라셩,1
1655,대학입시,1
1656,천년,1
1657,재다,1
1658,실,1
1659,뛔에에,1
1660,휘날릘,1
1661,어이없다,1
1662,따위,1
1663,눈덩이,1
1664,감상,1
1665,학습,1
1666,쓴다,1
1667,금보,1
1668,청곡,1
1669,식,1
1670,스밍목록,1
1671,만이,1
1672,단둘,1
1673,먹꼰니피,1
1674,써다,1
1675,기상,1
1676,인파,1
1677,질순,1
1678,존심,1
1679,던데,1
1680,쓸다,1
1681,데이트,1
1682,그로,1
1683,일리,1
1684,는걸,1
1685,아들,1
1686,연도,1
1687,뿐이다,1
1688,뚜렸했던,1
1689,꼴리다,1
1690,배알,1
1691,감,1
1692,별,1
1693,순,1
1694,개발,1
1695,환갑,1
1696,인천,1
1697,서울,1
1698,개화,1
1699,승부,1
1700,과거,1
1701,주르륵,1
1702,살때,1
1703,중간,1
1704,생생하다,1
1705,이어지다,1
1706,인,1
1707,알람,1
1708,싸다,1
1709,일상생활,1
