,user,comments,processed_comment
118,과니❣️,"전 이상하게 이 노래 들으면 슬퍼요ㅠㅠㅠ이 즈음에 군 입대를 했는데, 보통 남자들의 군대 입대곡이라고들 하는게 저는 이 곡이였거든요.*입대곡이라는 입대 시기에 나온 노래, 명곡 등을 말해요.(빅뱅 블루도 입대곡이라는데..)엄마가 일 땜에 바쁘시기도해서 입대 전에도시간도 같이 못 보내고, 슬펐어요 ㅠㅠ제가 신교대 수료식 끝나고 이 노래를 흥얼거리고 계시거라고요. 저는 엄마가 이 노래를 어떻게 아는지 했는데.저희 신교대 카페 bgm이라고 하더라고요!얼마나 노래를 많이 들었으면 흥얼거리실 정도인지😭무튼.. 감동과 슬픔이 섞여있는 노래에요.옛날 생각 잠깐 하고 가요!엄마 사랑해요💜","['전', '이상하다', '이', '노래', '들다', '슬프다', '이', '즈음', '군', '입대', '하다', '보통', '남자', '군대', '입대', '곡', '들다', '하다', '저', '이', '곡', '이다', '입대', '곡', '입대', '시기', '나오다', '노래', '명곡', '등', '말', '하다', '빅뱅', '블루', '입대', '곡', '데', '엄마', '일', '땜', '바쁘다', '도해', '입대', '전', '시간', '못', '보내다', '슬프다', '제', '신교대', '수료식', '끝나다', '이', '노래', '흥얼거리다', '계시다', '저', '엄마', '이', '노래', '어떻다', '알다', '하다', '저희', '신교대', '카페', '하다', '얼마나', '노래', '들다', '흥얼거리다', '정도', '무', '틀다', '감동', '슬픔', '섞이다', '노래', '옛날', '생각', '잠깐', '하다', '가요', '엄마', '사랑', '하다']"
119,완전온조,댓글 왜 숨겨진건지 설명 해주실 분 구함,"['댓글', '왜', '숨기다', '건지다', '설명', '해주다', '분', '구함']"
120,a01***,어이 벚태식이 돌아왔구만,"['어이', '벚태식', '돌아오다']"
121,WIZlinus,방탄이 컴백했는데 순위오르는 당신은 도덕책,"['방탄', '컴백', '하다', '순위', '오르다', '당신', '도덕', '책']"
122,bh7***,시작 됐다... 벚꽃의 계절.. 올라가세요 형님,"['시작', '돼다', '벚꽃', '계절', '올라가다', '형님']"
123,jo2***,오태식이 돌아왔구나,"['오태식', '돌아오다']"
124,썬ㄴ,벚꽃보면서 이 노랠 들으면 진짜 이게 봄이구나 싶음..,"['벚꽃', '보다', '이', '노랗다', '들다', '진짜', '이', '봄', '싶다']"
125,썬ㄴ,7년이 지났지만 아직도 봄이 되면 차트인 하네🌸,"['지나다', '봄', '되다', '차트', '하다']"
126,하히후헤호,2주전에 남친과 헤어졌는데도 봄은 오네요ㅜ,"['주전', '남친', '헤어지다', '봄', '오다']"
127,잠이안오네,스무살때 이노래가 나왔지 지금 들으면 12학번 새내기였던 나와 우리가 떠오르는 심장이 울렁거리는 인생 노래.. 예뻤다 그때.,"['스무살', '때', '노래', '나오다', '지금', '들다', '학번', '새내기', '이다', '나오다', '우리', '떠오르다', '심장', '울렁거리다', '인생', '노래', '예쁘다', '그때']"
128,unb***,곧 음악교과서 실리는거아님?,"['곧', '음악', '교과서', '실리다', '아니다']"
129,hun789,또 올라왔네 언제 이걸 같이 들을까..혼자듣기 지겹네~,"['또', '올라오다', '언제', '걸', '들다', '혼자', '듣기', '지겹다']"
130,킄,내년에 이 노래를 대학 캠퍼스에서 듣고싶다ㅏㅏㅏㅏ,"['내년', '이', '노래', '대학', '캠퍼스', '듣다']"
131,yan***,훗날 봄 가을이 없어지면이 노래로 봄을 알려줄 수 있을 것이다.,"['훗날', '봄', '가을', '없어지다', '노래', '봄', '알다', '수', '있다', '것']"
132,lUlN,아앗.....힘내십셔....ㅠ,"['앗', '힘내다']"
133,이과는위대해,정은지의 너란 봄 추천,"['정은지', '란', '봄', '추천']"
134,ㅂㅈㅂㅈ,실렸어용ㅋㅋㅋㅋㅋ,['실리다']
135,DAY6♡,이미 실렸어요 중학교 교과서에.ㅋㅋㅋㅋㅋ,"['실리다', '중학교', '교과서']"
136,ㅎㅎㅎ,또다시 찾아왔다,['찾아오다']
137,hyunju@,올해도 변함없이 차트 재등장 ㅋㅋㅋㅋㅋ,"['올해', '변하다', '차트', '재등장']"
138,gus***,2012년에 나온 노래를 2019년 4월에도 나는 듣고 있다 ㅎㅎㅎ 2015년에 같이 들었던 남자친구가 지금은 신랑이 되어 같이..ㅎㅎ,"['나오다', '노래', '나', '듣다', '있다', '들다', '남자친구', '지금', '신랑', '되어다']"
139,ghd***,.....군대있을때 나와서 군대 생각밖에 안남 봄마다 저주임......,"['군대', '있다', '때', '나오다', '군대', '생각', '안남', '봄', '주임']"
140,경청,참 들어도 들어도 질리지가 않네,"['차다', '들다', '들다', '질리다', '않다']"
141,김나나,이노래들어야 봄같음,"['노래', '들다', '봄', '같다']"
142,joo***,"2019, 지금 다시 들어도, 그 어느 봄에 들어도 늘 설레는 노래","['지금', '다시', '들다', '그', '봄', '들다', '늘', '설레다', '노래']"
