,youtube_id,comment,like_num,processed_comment
32,호잇,"작년에 이 노래 나왔을 땐, 매일 아침 등굣길에서 들으면서 가면 하루 기분이 좋았는데,,
올해는 지금이 겨울인지 봄인지도 모르겠다",37개,"['작년', '이', '노래', '나오다', '땐', '매일', '아침', '등굣길', '들다', '가면', '하루', '기분', '좋다', '올해', '지금', '겨울', '봄', '인지도', '모르다']"
33,천유정,너무너무재민써서맨날바요♥♥♥♥♥♥♥♥,1개,"['재민', '써다', '바']"
34,푸풀룻빳팟뿅,그 어떤노래를 너무 많이 들으면 소름 돋는거 있잖아 난 나만봄 도입부만 들으면 소름돋으면서 듣다보면 몸이 동글동글 해지는 느낌이랄까 ?,67개,"['그', '노래', '들다', '소름', '돋다', '있다', '난', '나', '봄', '도입', '부', '들다', '소름', '돋다', '듣다', '보다', '몸', '동글동글', '해지', '느낌', '랄', '끄다']"
35,볼사덕러볼리,"썸네일에서 1차 심쿵! 영상에서 2차 심쿵💕 
가사에서 3차 심쿵😍 내 인생에 3대 심쿵 볼사😘",1개,"['썸네일', '차', '심쿵', '영상', '차', '심쿵', '가사', '차', '심쿵', '내', '인생', '대다', '심쿵', '보다']"
36,김유나,"????한국인 어디 있지??
한국인의 힘을 모아서....
나와랏!!!!!!!!",1개,"['한국인', '어디', '있다', '한국인', '힘', '모으다', '나와랏']"
37,혜듀,넘 유명해졌다.. 영어 댓글 사이로 한글 댓글 찾기..,13개,"['넘다', '유명하다', '영어', '댓글', '사이', '한글', '댓글', '찾기']"
38,김현태,중2 때 롯데리아에서 우주를 줄게 듣고 볼사에 빠졌는데 해체라니ㅠㅠ 안지영 혼자서라도 이런 러블리한 노래 잘 만들어줬으면 좋겠다ㅜ,6개,"['중', '때', '롯데리아', '우주', '줄', '듣다', '볼사', '빠지다', '해체', '안지영', '혼자', '서다', '이렇다', '러블리', '노래', '자다', '만', '들어주다', '좋다']"
39,채원석,"아니 와 근데ㅋㅋ
원더케이 구독자가 2020만명이야ㅋㅋ
여러분 2021년되면 원더케이 구독자 2021만명 될수있게 구독해주세ㅇ..ㅛ

수정'*'
왖 근데 벌써 원더케이 구독자 2050만명 넘음..ㄷㄷ",5개,"['아니다', '오다', '원더', '케이', '독자', '여러분', '원더', '케이', '독자', '되다', '구독', '해주다', '수정', '왖', '벌써', '원더', '케이', '독자', '넘다']"
40,1385bsj,화살 사라지니까 다시 달려가서 냅다 꽂아버리네ㅋㅋㅋㅋㅋㅋㅋ,614개,"['화살', '사라지다', '다시', '달려가다', '꽂다', '버리다']"
41,김상추,"예전에 뮤비 봤을땐 귀엽네 하고 끝났었는데, 지금 다시 보니 마지막에 기타 연주가 그리도 아련하게 들리더라.",5개,"['예전', '뮤비', '보다', '땐', '귀엽다', '하다', '끝나다', '지금', '다시', '보다', '마지막', '기타', '연주가', '리도', '아련하다', '들리다']"
42,DewsDays이슬이의일상,벚꽃은 중간고사를 알려주는 존재🌸,1개,"['벚꽃', '중간고사', '알다', '존재']"
43,레고스톱모션준준우,더 예뻐졋다...지영이누나...앞으로도 계속 좋은곡 내줘요.,1개,"['더', '예뻐졋다', '이', '앞', '계속', '좋다', '곡', '내주다']"
44,키어런티어니,천사 ..,3개,['천사']
45,김미르,한국 가수곡에서 한글로 된 댓글 보는게 왜 이리 어려운지,318개,"['한국', '가수', '곡', '한글', '되다', '댓글', '보다', '왜', '어렵다']"
46,미술책,난 딱 이곡 나왔던 때로 다시 돌아가보고싶긴 하다.,10개,"['난', '이곡', '나오다', '때', '다시', '돌아가다', '보다', '하다']"
