,user,comments,processed_comment
160,hy_ahn,너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너무죠으다,['무']
161,hy_ahn,너너너너너너너너무좋다,"['무', '좋다']"
162,notch_,내년에 또보자 !,"['내년', '또', '보다']"
163,seoyoung_o,벚꽃엔딩..이름도 잘지었다,"['벚꽃', '엔딩', '이름', '지다']"
164,aerimssa,벚꽃은효자 여수는효녀,"['벚꽃', '효자', '여수', '효녀']"
165,yooson5,매번올라올때마다 또...? 이런생각도 드는데 솔직히 들을때마다 설레고 봄분위기를 제일 잘표현한곡같음,"['매번', '올라오다', '때', '또', '생각', '들다', '솔직하다', '들다', '때', '설레다', '봄', '분위기', '제일', '자다', '곡', '같다']"
166,drbaley,봄이 왔네~ㅎㅎ,"['봄', '오다']"
167,dbdusxor,봄이다ㅏ,['봄']
168,spartan,그만좀 기어올라와,"['좀', '기어오르다']"
169,piggykm,좀비가 스멀스멀 올라온다 후후,"['좀비', '올라오다']"
170,yyh1001,봄엔 이노래를 들어줘야지! 넘나 좋은 노래,"['봄', '노래', '들어주다', '넘다', '좋다', '노래']"
171,wnrdjqjfu33,역시 벚꽃연금...,"['역시', '벚꽃', '연금']"
172,hcssh,벚꽃시즌에는 들어줘야 제맛,"['벚꽃', '시즌', '들어주다', '맛']"
173,dhkim,"먼훗날 한국에 봄이 사라진다면, ""봄은 어떤느낌이였나요??"" 누군가 물어본다면 벚꽃엔딩을 켜주면 될듯하다.","['먼훗날', '한국', '봄', '사라지다', '봄', '느낌', '이다', '누군가', '물어보다', '벚꽃', '엔딩', '켜다', '되다', '하다']"
174,sejin3249,멋진 표현입니다^^,"['멋지다', '표현', '이다']"
175,tmxhs325,이거 ㅈㄴ 떠도는 말아니야 지겹다..,"['거', '뜨다', '도', '말다', '지겹다']"
176,kertyuio140,장봄준,['장봄준']
177,eh2***,올라온거 보니까 봄이네 ㅎ,"['올라오다', '보', '봄']"
178,kc***,대다나다 이제 20위야 ㅋㅋ,"['다나', '이제', '위']"
179,cyoondoc,아..슬금슬금 또 올라오네 ㅋㅋㅋㅋ,"['슬금슬금', '또', '올라오다']"
180,pal917,벚꽃연금이라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['벚꽃', '연금']"
181,gold6***,사스가 벚꽃연금..,"['사스', '벚꽃', '연금']"
182,minah***,날씨 좋으니까 들어야죠 ㅎㅎ,"['날씨', '좋다', '들다']"
183,hj24322,벚꽃연금 등판이여~,"['벚꽃', '연금', '등', '판이']"
184,lamus***,올해도 ㅎㅎㅎㅎ,['올해']
185,jyul,봄맞이로 들어야지 ㅎ,"['봄맞이', '들다']"
186,sys***,이노래 우리엄마도 따라부르더라 ㅋㅋㅋㅋ같이 길걷는데 봄바람 휘날리며~~~이러고 ㅋㅋㅋㅋㅋㅋ아진짜 국민봄노래임 ;;♡ 캐됴아아,"['이노', '우리엄마', '따르다', '부르다', '길', '걷다', '봄바람', '휘날리다', '이르다', '진짜', '국민', '봄', '노래', '임', '캐됴아']"
187,ljh4***,연금♡♡♡,['연금']
188,sg910***,이정도면 진짜 곡 하나로 연금..,"['정도', '진짜', '곡', '하나로', '연금']"
189,kyn3355,현재 10계단 상승 42위 입니다.,"['현재', '계단', '상승', '위', '이다']"
190,sunze***,지금 여친이랑 오래가게 해주세요~,"['지금', '여친', '가게', '해주다']"
191,ekd***,ㅋㅋㅋ귀엽고 설레요,"['귀엽다', '설레다']"
192,dear.***,벌써 올라오고 있는 중이냐 ㅋㅋㅋ,"['벌써', '올라오다', '있다', '중이']"
193,hasao***,올해도 올라오는 벚꽃좀비,"['올해', '올라오다', '벚꽃', '좀비']"
194,ppp5***,벚꽃좀비,"['벚꽃', '좀비']"
195,ljh4***,나도 행복한 봄이 되길 ♡,"['나다', '행복하다', '봄', '되다']"
196,lhs***,벚꽃연금 시작ㅎㅎ,"['벚꽃', '연금', '시작']"
197,jesun***,다시 시작된 연금ㅋㅋ,"['다시', '시작', '되다', '연금']"
198,flake***,돈 많이 벌고 여친 생기면 좋겠다 근데 안 생겨요 ㅎ..,"['돈', '벌다', '여친', '생기', '좋다', '안', '생기다']"
199,sumi950,행복한 봄이되길,"['행복하다', '봄', '되다']"
200,zy**,이맘때면 차트인,"['면', '차트']"
201,lej0242,연금엔딩이다,"['연금', '엔딩']"
202,migom***,또다시 봄ㅠ,['봄']
203,yoonj***,2017년 봄이 왔네요!,"['봄', '오다']"
204,kyh_85,취업하게 해주세요,"['취업', '하다', '해주다']"
205,wjdtm***,봄이오구나,['보다']
206,redvi***,지구 멸망의 그날까지 봄이오면 울려퍼질~~ㅎ,"['지구', '멸망', '그날', '보다', '울리다']"
207,rbfvl1318,벚꽃연금~,"['벚꽃', '연금']"
208,charm***,진짜 다시들어도 안질린다 ？(？ ？▽′？)？？,"['진짜', '다시', '어도', '안질리다']"
209,thdud***,봄이다!!!!!!,['봄']
210,tksgn***,올해도 왓어용ㅇ,"['올해', '왓어용']"
211,jombi***,슬금슬금,['슬금슬금']
212,zzxxcc756,좀있으면 또 흘러나오겠구먼,"['좋다', '또', '흘러나오다']"
213,gloom***,또 1년이 지났구나,"['또', '지나다']"
214,ironju1993,이제 또 올라오겠군,"['이제', '또', '올라오다']"
215,ojes***,개극혐,['개극혐']
216,박도원,응 꾸예꾸에 늬가 다~맞다 좋구나 좋구나,"['응', '꾸다', '예', '꾸다', '늬', '맞다', '좋다', '좋다']"
217,wjdghksdl121,벛꽃연금 부럽다.. 난 언제 돈 버냐,"['벛꽃', '연금', '부럽다', '난', '언제', '돈', '버']"
218,chj5595,또 시작이냐,"['또', '시작']"
219,hir***,또 순위 올라가기 시작하네 ㅋㅋㅋㅋ,"['또', '순위', '올라가다', '시작', '하다']"
220,sogari2000,좋겠다. 통장에 차곡차곡 쌓이는 소리.,"['좋다', '통장', '차곡차곡', '쌓이다', '소리']"
221,nss3181,으으으으어 좀비가 온다,"['으', '좀비', '오다']"
222,kals01,벚꽃 좀비,"['벚꽃', '좀비']"
223,surture,벚꽃 연금,"['벚꽃', '연금']"
224,poohj102,솔직히 봄하면 이만한 노래가 없긴 하지,"['솔직하다', '봄', '하다', '이만', '노래', '없다', '하다']"
225,sessoyu,또 슬글슬금 올라오네 대단하다,"['또', '슬글슬금', '올라오다', '대단하다']"
226,wonsch6207,그만 좀 나왔으면 좋겠다,"['좀', '나오다', '좋다']"
227,znzpzh,평생 타먹겠네 ㅋㅋ,"['평생', '타', '먹다']"
228,sdc04006,슬금슬금 다시 올라오기 시작햇다,"['슬금슬금', '다시', '올라오다', '시작', '하다']"
229,smwqwer,벚꽃좀비,"['벚꽃', '좀비']"
230,모장르트,다시 올라온다~,"['다시', '올라오다']"
231,Kim  Dogyoon,또흥하겟네,['또흥하겟']
232,mh9085,한국민요,['국민']
233,aintend,창작자의 좋은점은 바로 이런거,"['창작', '자의', '좋다', '점', '바로', '이렇다']"
234,gunbbang4877,벚꽃연금,"['벚꽃', '연금']"
235,nada0717yah,좀비야 좀비 ㅋㅋ,"['좀비', '좀비']"
236,psionicstorm,벛꽃연금,"['벛꽃', '연금']"
