,youtube_id,comment,like_num
101,다솔Dasolyoutube,너무 좋네요. 듯기도 좋고  우리집 모란앵무도  따라부르고  잇내여  ㅋㅋ(신기)  아프로 많이틀어주서야 겟어요 구독누르고 갈게요,1개
102,한승헌,"벚꽃엔딩, 봄이 좋냐를 잇는 봄 노래 등장이다..",190개
103,고재형,봄놀래들르면 기분이좋아!,1개
104,박민성,하필 오늘이 1주년이구나...... 우지윤님 고마웠고 고생했어요 ㅜㅜ,5개
105,귀염둥이보라,이거너무노래좋아요!!!(♥,1개
106,purplestar보라색별,Always playing this song to start my day 😍,5개
107,logan95,"I started cackling at every arrows impact in Kiyoon, they were so much harder than I expected omg",269개
108,,"沖縄で撮影されたんですね！
歌ってる方すごく可愛くて癒されます❤❤❤",12개
109,이병두,하지만 난 지금 이 시간에 깨어 있는 사람이 되고 싶습니다~ 아 진짜 너무 좋다^^,1개
110,stillcantfindmyjams,I want someone to turn this song in a   Kdrama,7개
111,다연,나나만봄23년부름하....근데왜안질리즤?💕,1개
112,단지아이폰이사고싶는사람임,2:28         너무 귀여워 ㅜㅜ 계속 돌려보는중 ㅠㅠ,1개
113,RiseandShine,"Money ruins everything, and even makes friends break apart.",9개
114,아이나,I really love this kind of vibes that's Why i love their songs,3개
115,08나현,이 노래 나왔을 때 진짜 너무 선선하고 좋았다....,10개
116,미역,와..이번 노래도 너무 좋다ㅠㅁㅠ 뭔가 이 노래 들으면 괜히 설레.. 화살 맞는것도 귀엽고 ㅋㅋㅋㅋㅋㅋ 뮤비 색감도 너무 이뻐요ㅠㅠ 진심 볼빨간사춘기 노래는 한번도 날 실망 시킨적이 없음..ㅠㅠㅠㅠㅠ 앞으로 계속 기대할만한 인재 ㅎㅎ,452개
117,밖없별,유튜브 알고리즘... 너 봄도 타니................? 어떻게이걸......,1개
118,samkwonHwang,You make my heart beating again. So adorable.,1개
119,황수혜,완전 대박 좋아요,1개
120,혜우용,6학년 개학식때 쌤이 틀어준 노래 ㄷㄷ 향수돋는다,7개
121,claimgrounds,"ㅋㅋㅋㅋㅋㅋㅋ우지윤 화살 맞은채 기타 침ㅋㅋㅋㅋㅋ
제일 맘에 드는 장면ㅋㅋㅋㅋㅋ",219개
122,김형섭,오늘부로 나만 봄이 나온지 딱 1년이네요 축하드려요 누님들 ㅠㅠ 이런 좋은 날에 지영누님과 지윤누님이 갈라지게 되어 너무 슬프고 속상하네요 ㅠ  지윤누님이 없는 볼사는 볼사가 아닌데..지윤누님 앞으로 꼭 꿈 이루시길 항상 응원하겠습니다  다시 완전체 볼사가 되기를 기다리겠습니다 항상 응원하고 사랑합니다 볼빨간사춘기 안지영 우지윤 화이팅!❤,12개
123,김수완,'딱 붙어서 ' 이부분 너무 좋다,5개
124,요밍,와 며칠 있으면 이 노래도... 1주년... 이라니... 말도 안 된다...ㅠㅠㅠ,26개
125,깡총깡총주토피아세상,"나만,봄듣고 기분이 좋아졌어용~
언니 넘 예뻥~ㅠㅠ
저 언니 팬이에요",1개
126,GIGA,"볼빨간사춘기 장점:

계속 듣게된다

단점:

계속 듣게된다",13개
127,놓지않을게,이 노래는 시기도 적당하게 잘 낸듯ㅠㅠ 딱 그 때 생각나고 너무 좋아,8개
128,SeonghwanSeanKANG,뼈치킨 듣다 온사람.. 나만이 아닐지도?,11개
129,GameBossStudio,날클립을~ 알고있니~ㅋㅋㅋㅋㅋㅋㅅㅂ,8개
130,MeiNi,Love how the mv was filmed,1개
131,ItzDaisha,"You can’t force love to go to you, because true love will find you",956개
132,0,지윤언니 앞길을 응원해요💖,3개
133,YoungHoonKim,BOL is best singer. I LOVE BOL. 😍😍😍,5개
134,한유가연,하..노래 너무 좋아..ㅜ,3개
135,예빈tv,학교끝나면진짜 힘든데이노래만드르면 행복해용,1개
136,ihxy,Hahaha just look at this MV. She’s so cute~~~ I cannot ✊,1개
137,침침침침,안경금색 쓰고 있는 선생님,1개
138,starlocater,뼈치킨을 알고있니,8개
139,오히려좋아,큐피트 화살 지속효과 점점 짧아지는 것 보소 ;,1개
140,KpopWorldLife,"#Bolbbalgan4 ""Bom"" - 22:00 KST:

#1 Bugs (=)
#1 Mnet (=)
#1 Naver (=)
#1 Soribada (=)
#1 Genie (=)
#1 Melon (+1)

We don't know where it is on FLO, so we have to wait for iChart to see if it will be RAK.",540개
141,SABDI,this song is so relatable ^^,1개
142,MonaMona,"sitting here studying, smiling to myself like a crazy person!!! hahaha... BOL4 songs give me such good vibes!",6개
