,youtube_id,comment,like_num
205,Spooky,I adore this song!,0개
206,AkshitaRuhi,Hoseok brought me here.,0개
207,merve,come here from fools,0개
208,ruthlessrays,Such a timeless song,0개
209,ZainalArifin,"#1buskerbusker
#2bts
Me : #1
You: ?",0개
210,ghalal,From BTS :)?,1개
211,물은셀프예요사장님,2021 세기의 대결. 코로나 vs 벛꽃엔딩,1개
212,youngmin,7년전 노랜데 전혀 촌스럽지도 않고 이런게 명곡이지,592개
213,Bluerosa,"Wow I didn't know that this song is awesome 



Spring day......?",1개
214,AafifaS,Plot twist of this mv is so cute,0개
215,송지환,아니 왜 봄이오는걸 멜론차트로확인하는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,87개
216,아힝힝,누가보면 방탄노래인줄 알겠네 댓글 점령한거봐라ㅋㅋㅋㅋㅋㅋ,190개
217,yongjunjung,2021 출첵(답글다세용),0개
218,김동민,2019년에 듣고계신분~!??,812개
219,HazelFayeGonzaga,"i often here this song as bgm (ang many other songs of this band). I finally  get to know this famous group when I watched Jang Beom June in Return of Superman. Jang Ha Da, your dad is so cool!",1개
220,Montexic,Who's here because they simply have a good sense in music?,400개
221,노래모아,군전역 D-15 진짜 얼마 안남았다 힘내자!! 군생활의 끝을 벚꽃엔딩으로 맺어보자 멋진 엔딩이 되길.....,19개
222,MAHGAWDno,Lol I get to know this song from  webtoons ( fools)  HAHAHAHAHAHAH,0개
223,MoaPongen,recommendation from Su Lee,0개
224,EsP,몇세기 지나면 이 노래 교과서에 실려서 후손들이 21세기 대한민국 시기에 널리불린 민요라면서 줄긋고 해석하면서 배울듯..장범준씨의 추임새 허어어어도 장범준씨 작품들의 특징으로 외우고 ㅋㅋ,11개
225,송시현,2012 봄바람 흘라니며 ~🎶.                                     2020 빵테온~~~🎵🎶,4개
226,,"???:난 아직도 실버 3,4에 있었어~~ 근데 
난 플레에 가고싶다고 말했지~~",3개
227,muyfgil,"after a long time, i found this song",0개
228,Lilliansssssss,原來已經8年了~ 🥶🥶🥶🥶,1개
229,lilmamagc,Cherry Blossom pension!,0개
230,lu,i miss korea 😭,0개
231,youtubechannel,"They're not idols, right? Their single is the best selling single in South Korea to date and I only knew about them when they won in 2012 over EXO and BAP.",110개
232,김범준,그렇게 실버판테온은 라인전에 지쳐 벚꽃을 보러오게 되는데,4개
233,쇼콜,"이 노래 나온지 8년이나 지난 지금, 출첵 하자~",1개
234,ChelseaEvora,Finally found this song after so long!!! alwdkhawkdhawdhihn I hate myself for taking this long ㅠㅠ,0개
235,Noopoy0127,Love these song,0개
236,nothingg,Can't believe it's been 4 years already...I remember when this song was everywhere. Still love this song :) has such a sweet feeling,395개
237,LiliFee,this is SPRING SONG of all time,0개
238,게스,2020년 4월!!😁,3개
239,joechristene,this song gave life to hoseok’s hidden vocals ㅠㅠ,1개
240,남코치TV,조회수 1억은 나왔을줄 알았는데 사람들이 노래는 많이 들어도 생각보다 뮤비는 별로 안보는구나,659개
241,정세윤,장범준 연금 탈 시간이 왔다,258개
242,DanielleHipe,This was the band the beat exo and b.a.p from getting rookie of the year back in 2012 kahskdhdsk,597개
243,Jelina,I just discovered this in ‘two days and one night’ AND DANG I’M INLOVE WITH THIS SONG 🥺❤️,3개
244,ViktorKjr,"Really missed my students life. Played busker-busker songs in bus way to my campus with trip about an hour. This one got to be my favorite but, ‘Love At Its First’ also a song which signifies myself as a grown up man. Thanks to this legendary band <3",3개
245,chanyza,"I KNEW THIS SONG FOR LIKE YEARS BUT NEVER KNEW THE NAME, I FINALLY FOUND IT OMG",0개
246,ChrisXu,really like that old model of vw so cute!!!!,0개
247,윤종빈,한국대중음악사에 길이남을 역작 2012년은 강남스타일과 벚꽃엔딩으로 압축할수있다.,313개
248,Robbiepurple,IU bring me here 😍 Good song,1개
249,KristinaJh,"Im listening to this song since 2012💛🍥
Like.. i LOVE this song OMG😭🧡",9개
250,DishaSarkar,"Am I the only one here who was using Pinterest and found a wallpaper with this song's name on it and set it as wallpaper then wanted to know what song it was?







No one? Yeah.... I knew it...",0개
251,IK,I'm here because of Runningman X) #happyspring,4개
252,youshouldbesleeping,Came here because of manhwa fools,1개
253,성이름,가운데에 있는분 초창기 꽈뚜룹 같다,1개
254,김기수,좋은노래에요 영상감사합니다,1개
255,추리남,2020?,1개
256,박자연,코로나야!  너! 당장! 사라져!!!,2개
257,Ga3wiiz,My favorite spring song ❤❤👍,0개
258,violetswereneverblue,I'm here because of my starry sky,0개
259,ShamimaTasnim,Subtitles please,0개
260,송창섭,5년 전 2012년이면 엊그제같은데 5년 후 2022년이라 생각하면 존나 먼 미래같다,350개
261,UmarHalim,The first time i hear this song was from Runningman during couple race eps,1개
262,danielavazquez,"I came back to this song thanks to srping and Fools manhwa, you really can feel you fall in love in the spring💕",2개
263,황승표,코로나 물러가라,2개
264,JNoreen,This song never gets old <3 It still gives me fresh feelings everytime I listen to it.,4개
265,beashnpull,"한국에서 차트 기록세운 노래 가지고 외국 방탄팬들은 ""방탄이 언급해준거에 고마워 해야지"" 이 ㅈㄹ 하고 있네 ㅋㅋ",667개
266,lia,I'm here cause woojin and jisung♥️,5개
267,apiss,คิดว่าพี่ติ๊ก เจษ 5555,1개
268,PujiRestuMaulida,"This mv is one of the biggest plot twist i've ever seen 
And also, this song is a masterpiece",15개
269,longzheli,ㅎㅎㅎ기분조와저,1개
270,SafakFrank,it is back to the charts... Again,30개
271,NJ닌짱,"봄:장범준
여름:박명수,제시카
가을:먼데이키즈, 바이브
겨울:엘사",7개
272,SmokeWeedEveryDayyee,이 형이 나중에 판테온 노래를 만들줄 누가 알았겠어 ㅋㅋㅋ,1개
273,ARAKIM,I accidentally clicked this song while i was searching some spring kpop songs then My korean friend looked at me surprised asking how did i know this? Idk i just clicked it but this is really beautiful,1개
274,라921세상아잘있어,"봄만되면 지갑 터지는 가수:장범준,로이킴",2개
275,장진아,날씨 좋은날 이노래 들으면서 길거리 걸으면 진짜 행복함,732개
276,이지환,뮤비 존나 귀엽네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개
277,hakunamatata,"That is Jang Beom Jun right?  Anyway, I have heard this song although I'm not Korean",0개
278,EmilyVieira,Vim por causa de Fools,1개
279,ShekinahGarperio,"I came here because of the manhwa, Fools kkk",0개
280,BRISSDOMAR,"I come here because of Korea TVN reality show “Summer Vacation “. Thanks for taking me here, long time no searching for this song :) It’s midnight in Sep, I’m happy 🤎",3개
281,채널,???: 플레에 갈 거야~,1개
282,세린오,6년전은 어제 같고 6년 뒤는 너무 멀게 느껴진다...,249개
