,youtube_id,comment,like_num,processed_comment
261,임정빈,반주... 가슴이 웅장해진다,0개,"['반주', '가슴', '웅장', '하다']"
262,박광우,2018년 7월에 문득 생각나서 들으러 옴,0개,"['문득', '생각나다', '들다', '옴']"
263,이강희,하모니카의 매력이 느껴진당,0개,"['하모니카', '매력', '느껴지다']"
264,현수꿀잼TV,영상정민수꿀잼 구독과 좋아요 눌러주세요,0개,"['영상', '정민수', '꿀잼', '구독', '좋다', '누르다']"
265,KimDoYeon,순실이가~ 순실이가~ 근혜 근혜 도왔네~,112개,"['실', '실', '근혜', '근혜', '도', '오다']"
266,사람살려유,버스커버스커는  노래는진짜좋아,0개,"['버스커버스커', '노래', '진짜', '좋다']"
267,너라는여름,봄봄봄 서울에서 첫 봄이다,0개,"['봄봄봄', '서울', '첫', '봄']"
268,짱각성델론즈,노래좋다,0개,"['노래', '좋다']"
269,삐슝뿌슝빠슝,"개:멍멍

고양이:야옹야옹

병신:2019??2019??",75개,"['개', '고양이', '병신']"
270,정림,길가다 마트에서 이노래 들려서 너무좋아가지고 졸라찾았는데 드디어,0개,"['길가', '마트', '이노', '들다', '좋다', '졸라', '찾다']"
271,김준영,봄에 최적화된 유일한 가수그룹,0개,"['봄', '최적화', '되다', '유일하다', '가수', '그룹']"
272,정찬영TV,역시 장범준 님,0개,"['역시', '장범준']"
273,RozennChangmee,19년에 온사람 손!,0개,"['사람', '손']"
274,장대호,2020년에 본 분들 ㅎㅇ,4개,['보다']
275,건우,링크좀...............,0개,"['링크', '좀']"
276,문진옥,장범준은봄노래의신?인정하면좋아요,6개,"['장범준', '봄', '노래', '신', '인정', '하다', '좋다']"
277,1615오유,"이게 진짜 노래지
한국노래가 다 이러면 얼마나 좋을까",0개,"['이', '진짜', '노래', '한국', '노래', '이르다', '얼마나', '좋다']"
278,로나의그림채널,네가  말하는 세상,0개,"['네', '말', '하다', '세상']"
279,양진,호홍홍호호,0개,"['호홍홍', '호호']"
280,박준성,민주화,0개,['민주화']
281,고구미,19년에 온사람 손,3개,"['사람', '손']"
282,LOOK,난 이거 우리중에서 라디오때 나오길래 노래좋아서 들음,0개,"['난', '거', '우리', '라디오', '때', '나오다', '노래', '좋다', '들다']"
283,pearlpearl,몇년을 거쳐도 킹스커갓스커,0개,"['년', '거치다', '킹스', '크다', '스', '크다']"
284,포모남tv,노래되게좋아요,0개,"['노래', '좋다']"
285,JJY,개인적으로 그마힘이 ㄹㅈㄷ,0개,"['개인', '마힘']"
286,취퀸,"노래틀자마자 덴본사람
↓↓",3개,"['노래', '틀다', '덴', '사람']"
287,초보,밤꽃송이가~밤꽃송이가~,1개,"['밤꽃', '송이', '밤꽃', '송이']"
288,안성현,굿,0개,['굿']
289,연근,22년에 오신분✋,4개,['신분']
290,앙동,노래 하나로 그 봄날의 온도 냄새 날씨를 알게된다,0개,"['노래', '하나로', '그', '봄날', '온도', '냄새', '날씨', '알', '되다']"
291,수박바리,배드민턴하저고 꼬셔??,0개,"['배드민턴', '고', '꼬셔']"
292,박은채,정지우강성욱은채.이지연선생님 떡강성욱은채편지,0개,"['정지우', '강성욱', '채', '이지연', '선생님', '떡', '강성욱', '채', '편지']"
293,JohnPark,세상이 이렇게 우낀 가사와 목소리 맬로디 리듬 찾기 함듬 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6개,"['세상', '끼다', '가사', '목소리', '매다', '로디', '리듬', '찾기', '함듬']"
294,조성우,좋다,0개,['좋다']
295,이토끼,골드블랙 실버블랙,0개,"['골드', '블랙', '실버', '블랙']"
296,김현서,하모니카는솔로,0개,"['하모니카', '솔로']"
297,시바견김현식,30년도 더 됐구나...... 2048년에도 보는 사람 있어요?,0개,"['더', '돼다', '보다', '사람', '있다']"
