,melon_id,댓글,processed_comment
536,527jh,"작년 봄에는 이 노래 들으며 마음고생 많이 하고 암울하던 고 3 생활 달랬는데..이젠 대학 들어와서 좋은 사람 많이 만나고 행복하게 지내고 있네요 매년 이 노래를 들으면 작년 이 맘때 그 추억이 생각나 미묘해집니다. 지금쯤 이 노래를 듣고 있을 수험생, 대학생뿐만 아니라 모든 분들 행복한 2019년 되셨음 좋겠어요 화이팅","['작년', '봄', '이', '노래', '들다', '마음', '고생', '하다', '암울하다', '고', '생활', '달래다', '젠', '대학', '들어오다', '좋다', '사람', '만나다', '행복하다', '지내다', '있다', '매년', '이', '노래', '들다', '작년', '이', '맘때', '그', '추억', '생각나다', '미묘하다', '지다', '지금', '이', '노래', '듣다', '있다', '수험생', '대학생', '아니다', '모든', '행복하다', '되다', '좋다', '화이팅']"
537,개?민,매년 같은 노랜데 왜 또 좋고 난리,"['매년', '같다', '노래', '왜', '또', '좋다', '난리']"
538,whdgus1607,벚꽃좀비 또올라왔네... ㅋㅋ,"['벚꽃', '좀비', '또', '올라오다']"
539,ㅃㅃㅋ,와....엄청나 역시..,"['오다', '엄청나다', '역시']"
540,이것만10년,추워오늘,"['춥다', '오늘']"
541,chekd502,올 봄도 듣는다,"['오다', '봄', '듣다']"
542,개똥군2,촘비ㄷㄷ,['촘비']
543,시원한유자차,솔직히 이쯤되면 이곡 하나만있으면 먹고살수 있지 않을까?,"['솔직하다', '이쯤', '되다', '이곡', '하나', '있다', '먹고살다', '있다', '않다']"
544,ㅡ,이정도면 슈트라우스도 봄마다 관짝 열고 왈츠 추고 갈 듯;,"['정도', '슈트라우스', '봄', '관짝', '열다', '왈츠', '추다', '갈다', '듯']"
545,laiob,요즘은 봄바람같이 산들산들한 노래가 많아졌지만 그럼에도 이 노래만이 줄 수 있는 느낌은 여전하다. 각자 가지고 있는 201×년의 봄이 어떤 색이었는지. 그렇게 노래가 당신의 봄을 품고 있는 건 아닌지.,"['요즘', '봄바람', '산들', '산들', '노래', '많아지다', '그렇다', '이', '노래', '줄', '수', '있다', '느낌', '여전하다', '각자', '가지', '있다', '년', '봄', '어떻다', '색', '이다', '노래', '당신', '봄', '품다', '있다', '건', '아니다']"
546,all_rounder,벌써 벚꽃핀곳 있나보다 순위올라오네 ㅋㅋㅋ,"['벌써', '벚꽃', '핀곳', '있다', '순위', '올라오다']"
547,Youngsuu_,"듣는 사람 모두 그렇겠지만
이 노래를 처음듣던
모든게 서툴러서 오히려 설레던 스무살의 나는
어느새 이십대 후반이 되어 가고있다","['듣다', '사람', '모두', '그렇다', '이', '노래', '처음', '듣다', '모든', '서툴다', '오히려', '설레다', '스무살', '나', '어느새다', '십대', '후반', '되어다', '가다']"
548,quichote,과거의 장범준과 지금의 장범준의 승부,"['과거', '장범준', '지금', '장범준', '승부']"
549,Dok2_1179,이 노래 안 좋아하는 사람이 있을까,"['이', '노래', '안', '좋아하다', '사람', '있다']"
550,weapony,"벚꽃좀비의 개화일은 서울 4월 2일, 인천 4월 3일, 부산 3월 25일로 예상됩니다.","['벚꽃', '좀비', '개화', '일', '서울', '인천', '부산', '예상', '되다']"
551,(기도하는부처님),와 올라가는거 신기하네 ㄷㄷ,"['오다', '올라가다', '신기하다']"
552,위시다크샤인,지금 37위 ㅋㅋㅋ 얼마까지올라갈까,"['지금', '위', '얼마', '올라가다']"
553,9cas10,내가 환갑 칠순되도 이노래는 계속 챠트에 올라올듯 싶음,"['내', '환갑', '순', '되다', '노래', '계속', '챠트', '올라오다', '싶다']"
554,jsm3604,"12,13,14,15,16 5년연속 연도별TOP100에 들어 감ㄷㄷ","['연도', '별', '들다', '감']"
555,김_은우,"벚꽃연금
벚꽃좀비
네버엔딩","['벚꽃', '연금', '벚꽃', '좀비', '네버엔딩']"
556,smiiiiiii,40위 실화냨ㅋㅋㅋㅋㅋ 벚꽃 폈나보네,"['위', '실화', '벚꽃', '피다', '보다']"
557,김현식,하 장범준 배알 ♩♪꼴리네,"['장범준', '배알', '꼴리다']"
558,케에빈,봄이니까 ㅎㅎ,['봄']
559,qhdi00,매년 들어도 좋다ㅜㅜㅜ,"['매년', '들다', '좋다']"
560,juwoncozyboy,군항제 얼마 안남았으니까 연금도 얼마 안남았네,"['군항제', '얼마', '안남다', '연금', '얼마', '안남다']"
561,공중님이다,"그때그 미세먼지가없던,하늘이 뚜렸했던,다들 순수했던 그시절 그봄과 그때의 그감성의봄을 노래로 표현할수있는건 벛꽃엔딩 뿐이기에 이맘때쯤 그때감성을 찾아보려 듣는데 역시나 좋다","['그때', '그', '미세먼지', '없다', '하늘', '뚜렸했던', '들다', '순수하다', '시절', '봄', '그때', '감성', '봄', '노래', '표현', '하다', '벛꽃', '엔딩', '뿐이다', '쯤', '그때', '감성', '찾아보다', '듣다', '역시', '좋다']"
562,바그지훈남,벚꽃볼 여자만 있으면 딱 좋을텐데 ㅎㅎㅎㅎ 주르륵,"['벚꽃', '볼', '여자', '있다', '좋다', '주르륵']"
563,찬찬0615,어떻게 이런 노래가 최고순위가 7위냐,"['어떻다', '이렇다', '노래', '최고', '순위', '위']"
564,Fuzon,벚꽃좀비가 또.... 7년째 백신개발 아무도 못함 ㅋㅋㅋㅋㅋ,"['벚꽃', '좀비', '또', '백신', '개발', '아무', '하다']"
565,wweals,74위다 더 떡상하자!!,"['위', '더', '떡', '하자']"
566,그나0919,20살때 처음들었는데 그때보다 지금이 더 좋다ㅎㅎ들을 수록 좋은 노래~,"['살때', '처음', '들다', '그때', '지금', '더', '좋다', '들다', '수록', '좋다', '노래']"
567,지려요,봄과 함께 같이 따라오는 노래!,"['봄', '따라오다', '노래']"
568,us1133,벚꽃오셨다 길터드려라,"['벚꽃', '오다', '길터', '드리다']"
